Time,Volume,Open,High,Low,Close
2020-05-14T01:32:45.000000000Z,1,7.75093,7.75093,7.75093,7.75093
2020-05-14T01:32:55.000000000Z,1,7.75092,7.75092,7.75092,7.75092
2020-05-14T01:33:20.000000000Z,1,7.75092,7.75092,7.75092,7.75092
2020-05-14T01:34:40.000000000Z,1,7.75092,7.75092,7.75092,7.75092
2020-05-14T01:35:25.000000000Z,1,7.75092,7.75092,7.75092,7.75092
2020-05-14T01:35:30.000000000Z,1,7.75092,7.75092,7.75092,7.75092
2020-05-14T01:35:35.000000000Z,2,7.75092,7.75093,7.75092,7.75093
2020-05-14T01:36:05.000000000Z,2,7.75094,7.75094,7.75093,7.75093
2020-05-14T01:37:35.000000000Z,1,7.75093,7.75093,7.75093,7.75093
2020-05-14T01:39:30.000000000Z,1,7.75094,7.75094,7.75094,7.75094
2020-05-14T01:39:40.000000000Z,4,7.75094,7.75094,7.75090,7.75090
2020-05-14T01:40:20.000000000Z,2,7.75089,7.75089,7.75089,7.75089
2020-05-14T01:40:35.000000000Z,2,7.75088,7.75089,7.75088,7.75089
2020-05-14T01:40:45.000000000Z,1,7.75088,7.75088,7.75088,7.75088
2020-05-14T01:40:50.000000000Z,1,7.75088,7.75088,7.75088,7.75088
2020-05-14T01:41:50.000000000Z,1,7.75088,7.75088,7.75088,7.75088
2020-05-14T01:42:45.000000000Z,1,7.75088,7.75088,7.75088,7.75088
2020-05-14T01:43:40.000000000Z,1,7.75089,7.75089,7.75089,7.75089
2020-05-14T01:44:40.000000000Z,2,7.75089,7.75089,7.75089,7.75089
2020-05-14T01:45:45.000000000Z,1,7.75089,7.75089,7.75089,7.75089
2020-05-14T01:46:35.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T01:46:40.000000000Z,1,7.75088,7.75088,7.75088,7.75088
2020-05-14T01:48:15.000000000Z,2,7.75088,7.75089,7.75088,7.75089
2020-05-14T01:48:30.000000000Z,2,7.75090,7.75090,7.75088,7.75088
2020-05-14T01:49:10.000000000Z,3,7.75090,7.75092,7.75090,7.75092
2020-05-14T01:49:50.000000000Z,4,7.75092,7.75096,7.75092,7.75096
2020-05-14T01:49:55.000000000Z,1,7.75097,7.75097,7.75097,7.75097
2020-05-14T01:50:15.000000000Z,4,7.75096,7.75097,7.75096,7.75096
2020-05-14T01:50:20.000000000Z,2,7.75096,7.75097,7.75096,7.75097
2020-05-14T01:50:30.000000000Z,5,7.75100,7.75108,7.75100,7.75108
2020-05-14T01:50:55.000000000Z,2,7.75108,7.75108,7.75108,7.75108
2020-05-14T01:51:35.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:51:50.000000000Z,1,7.75105,7.75105,7.75105,7.75105
2020-05-14T01:52:05.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:52:20.000000000Z,5,7.75103,7.75104,7.75100,7.75100
2020-05-14T01:52:55.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:53:05.000000000Z,2,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:53:15.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:53:35.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:53:50.000000000Z,2,7.75101,7.75101,7.75100,7.75100
2020-05-14T01:54:00.000000000Z,1,7.75101,7.75101,7.75101,7.75101
2020-05-14T01:54:05.000000000Z,1,7.75101,7.75101,7.75101,7.75101
2020-05-14T01:55:05.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:55:35.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:55:50.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:57:20.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:57:25.000000000Z,1,7.75103,7.75103,7.75103,7.75103
2020-05-14T01:57:35.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:58:25.000000000Z,3,7.75098,7.75101,7.75098,7.75100
2020-05-14T01:59:15.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T01:59:40.000000000Z,4,7.75102,7.75104,7.75102,7.75103
